day,S,L,A,R
0,9908.0,80.0,12.0,0.0
1,9905.0276,82.47854,12.13386,0.36
2,9902.022944545137,84.98301001263388,12.27002964222951,0.7240158
3,9898.985491668947,87.51385515138793,12.408536490398724,1.0921166892668852
4,9895.914693601664,90.07152519548727,12.549408418869977,1.464372783978847
5,9892.809996722457,92.65647462769643,12.69267361330231,1.8408550365449463
6,9889.670841512287,95.26916267156457,12.838360571205405,2.2216352449440158
7,9886.49666250744,97.9100533280814,12.986498102399198,2.606786062080178
8,9883.286888253764,100.57961541170891,13.137115329375428,2.9963810051521538
9,9880.040941261657,103.27832258575313,13.290241687557291,3.3904944650334166
10,9876.758237961849,106.00665339703866,13.445906925453256,3.7892017156601354
11,9873.438188662029,108.76509130984826,13.604141104701027,4.192578923423733
12,9870.08019750435,111.55412473908827,13.764974599997537,4.600703156564764
13,9866.683662423886,114.37424708263977,13.92843809891076,5.01365239456469
14,9863.247975108046,117.22595675285429,14.094562601569042,5.431505537532012
15,9859.772520957047,120.10975720715172,14.263379420223531,5.854342415579083
16,9856.25667904546,123.02615697767689,14.434920178679258,6.282243798185789
17,9852.699822084895,125.97566969997044,14.60921681159022,6.715291403546167
18,9849.101316387885,128.95881414060798,14.786301563613826,7.153567907893874
19,9845.460521833018,131.97611422376093,14.966206988419891,7.597156954802289
20,9841.776791831366,135.02809905663065,15.14896594754931,8.046143164454886
21,9838.049473294295,138.1153029537069,15.334611609117438,8.500612142881366
22,9834.277906602689,141.2382654598,15.523177446357078,8.960650491154889
23,9830.461425577665,144.39753137179503,15.714697235995928,9.4263458145456
24,9826.599357452838,147.59365075907513,15.909205056463215,9.897786731625478
25,9822.691022848203,150.82717898256,16.106735285920116,10.375062883319375
26,9818.735735745693,154.09867671230396,16.30732260010855,10.858264941896978
27,9814.732803466493,157.408709943597,16.511001970012746,11.347484619900234
28,9810.681526650164,160.75785001151098,16.71780865932796,11.842814679000616
29,9806.58119923566,164.14667360383208,16.92777822173056,12.344348938780454
30,9802.431108444309,167.57576277231843,17.14094649794364,12.85218228543237
31,9798.230534764818,171.045704942222,17.357349612592305,13.366410680370679
32,9793.9787519404,174.5570929200113,17.577023970842458,13.887131168748448
33,9789.67502695808,178.11052489923085,17.800006254817106,14.414441887873721
34,9785.318620040269,181.70660446443154,18.026333419783935,14.948442075518235
35,9780.908784638677,185.34594059310578,18.256042690107822,15.489232078111753
36,9776.444767430667,189.02914765555875,18.489171554962002,16.03691335881499
37,9771.925808318101,192.7568454126464,18.72575776379136,16.59158850546385
38,9767.351140428793,196.52965901131032,18.96583932152135,17.15336123837759
39,9762.719990120637,200.34821897783635,19.209454483505937,17.722336418023232
40,9758.0315769885,204.21316120876514,19.456641750207847,18.29862005252841
41,9753.285113873982,208.12512695937937,19.707439861604424,18.882319305034645
42,9748.479806878113,212.08476282969224,19.961887791312243,19.47354250088278
43,9743.614855377093,216.09272074786088,20.220024740423597,20.072399134622145
44,9738.68945204117,220.14965795094597,20.48189013104792,20.678999876834855
45,9733.702782856742,224.25623696293883,20.747523599551183,21.293456580766293
46,9728.654027151784,228.41312556997573,21.016964989486176,21.91588228875283
47,9723.542357624698,232.62099679265756,21.2902543442066,22.546391238437415
48,9718.366940376685,236.8805288553925,21.567431899157857,23.185098868763614
49,9713.126934947746,241.1924051526783,21.84853807383736,23.832121825738348
50,9707.82149435639,245.5573142122389,22.133613463417174,24.48757796795347
51,9702.449765143192,249.97594965493022,22.42269883002177,25.151586371855984
52,9697.010887418262,254.44901015132822,22.715835093653652,25.824267336756638
53,9691.503994912764,258.9771993749115,23.01306332275968,26.505742389566247
54,9685.928215034572,263.5612259517503,23.314424724430733,27.196134289249038
55,9680.28266892818,268.2018034066121,23.619960634227603,27.895567030981958
56,9674.566471538972,272.8996501053941,23.929712505625787,28.604165850008787
57,9668.77873168196,277.65548919379137,24.243721899072103,29.32205722517756
58,9662.918552115096,282.4700485321095,24.56203047064582,30.04936888214972
59,9656.985029617284,287.3440606261292,24.884679960317282,30.786229796269097
60,9650.977255071195,292.27826255393,25.211712179796947,31.532770195078616
61,9644.89431355098,297.27339588858086,25.54316899996773,32.28912156047252
62,9638.735284415034,302.33020661660225,25.879092337893823,33.055416630471555
63,9632.499241403886,307.4494450521075,26.219524143399067,33.83178940060837
64,9626.185252743355,312.6318657465281,26.564506385208094,34.618375124910344
65,9619.792381253063,317.87822739382875,26.91408103664363,35.41531031646659
66,9613.319684460444,323.189292731118,27.268290060873365,36.2227327475659
67,9606.76621472035,328.5658284345595,27.62717539569998,37.0407814493921
68,9600.13101934036,334.0086050104895,27.99077893788808,37.8695967112631
69,9593.413140711933,339.51839668164695,28.359142527021927,38.709320079399745
70,9586.611616447482,345.0959812684216,28.732307928887963,39.5600943552104
71,9579.725479523522,350.74214006502706,29.110316818376464,40.42206359307704
72,9572.753758429972,356.4576577105056,29.493210761896698,41.295373097628335
73,9565.695477325744,362.24332205447297,29.88103119930028,42.180169420485235
74,9558.54965620072,368.099924017511,30.273819425307618,43.07660035646424
75,9551.315311044227,374.0282574461182,30.67161657043261,43.98481493922347
76,9543.991454020135,380.02911896212805,31.074463581400995,44.904963436336445
77,9536.577093648657,386.10330780650776,31.482401201058057,45.83719734377848
78,9529.07123499498,392.251625677449,31.89546994776172,46.78166937981022
79,9521.472879864834,398.47487656266713,32.313710094257324,47.73853347824307
80,9513.781027007077,404.7738665658231,32.73716164603077,48.70794478107079
81,9505.994672323424,411.1494037269876,33.16586431913711,49.690059630451714
82,9498.112809085407,417.60229783706666,33.59985751750188,50.685035560025824
83,9490.134428158646,424.13336024611107,34.03918030969317,51.69303128555088
84,9482.058518234564,430.7434036654339,34.48387140516249,52.71420669484168
85,9473.884066069588,437.43324196346396,34.933969129953226,53.74872283699655
86,9465.610056731966,444.20368995526354,35.38951140187583,54.79674191089514
